onset	duration	trial_type
0	3	CD_control_Scone
6	3	IOVD
12	3	IOVD_control
21	3	IOVD
27	3	Fixation
33	3	IOVD
39	3	Fixation
45	3	CD_control_Scone
51	3	CD_control_Scone
57	3	CD
63	3	Fixation
69	3	CD
75	3	CD_Scone
81	3	CD
87	3	IOVD_Scone
93	3	CD_control
99	3	Fixation
105	3	CD
111	3	IOVD_control_Scone
120	3	Fixation
129	3	CD_control
135	3	CD_Scone
141	3	Fixation
147	3	CD_Scone
156	3	IOVD_control_Scone
162	3	Fixation
174	3	IOVD_control_Scone
180	3	IOVD_Scone
186	3	CD
192	3	IOVD_control
198	3	IOVD_control
204	3	Fixation
216	3	IOVD_control
222	3	CD_control
228	3	IOVD_control_Scone
234	3	CD_control_Scone
240	3	Fixation
246	3	IOVD_Scone
255	3	IOVD_Scone
261	3	IOVD_control_Scone
270	3	CD_Scone
276	3	IOVD
282	3	CD_control_Scone
288	3	IOVD_Scone
294	3	IOVD_control
300	3	CD_Scone
306	3	CD_control
312	3	IOVD
318	3	Fixation
324	3	CD_control
